Country,Year,Population
Belgium,1999,10213752
Belgium,2000,10239085
Belgium,2001,10263414
Belgium,2002,10309725
Belgium,2003,10355844
Belgium,2004,10396421
Belgium,2005,10445852
Belgium,2006,10511382
Belgium,2007,10584534
Belgium,2008,10666866
Belgium,2009,10753080
Belgium,2010,10839905
Belgium,2011,11000638
Belgium,2012,11075889
Belgium,2013,11137974
Belgium,2014,11180840
Belgium,2015,11237274
Belgium,2016,11311117
Belgium,2017,11351727
Belgium,2018,11398589
Belgium,2019,11455519
Belgium,2020,11522440
Belgium,2021,11554767
Belgium,2022,11617623
Belgium,2023,11742796
Belgium,2024,11817096
Bosnia and Herzegovina,1960,3212349
Bosnia and Herzegovina,1961,3265629
Bosnia and Herzegovina,1962,3329909
Bosnia and Herzegovina,1963,3406130
Bosnia and Herzegovina,1964,3480448
Bosnia and Herzegovina,1965,3553053
Bosnia and Herzegovina,1966,3627922
Bosnia and Herzegovina,1967,3700916
Bosnia and Herzegovina,1968,3767185
Bosnia and Herzegovina,1969,3734546
Bosnia and Herzegovina,1970,3685694
Bosnia and Herzegovina,1971,3731216
Bosnia and Herzegovina,1972,3789131
Bosnia and Herzegovina,1973,3845048
Bosnia and Herzegovina,1974,3898064
Bosnia and Herzegovina,1975,3950628
Bosnia and Herzegovina,1976,4004830
Bosnia and Herzegovina,1977,4059247
Bosnia and Herzegovina,1978,4110203
Bosnia and Herzegovina,1979,4157746
Bosnia and Herzegovina,1980,4136941
Bosnia and Herzegovina,1981,4114030
Bosnia and Herzegovina,1982,4158361
Bosnia and Herzegovina,1983,4203208
Bosnia and Herzegovina,1984,4248746
Bosnia and Herzegovina,1985,4293863
Bosnia and Herzegovina,1986,4337350
Bosnia and Herzegovina,1987,4379545
Bosnia and Herzegovina,1988,4421373
Bosnia and Herzegovina,1989,4461498
Bosnia and Herzegovina,1990,4499203
Bosnia and Herzegovina,1991,4517921
Bosnia and Herzegovina,1992,:
Bosnia and Herzegovina,1993,:
Bosnia and Herzegovina,1994,:
Bosnia and Herzegovina,1995,:
Bosnia and Herzegovina,1996,:
Bosnia and Herzegovina,1997,3727439
Bosnia and Herzegovina,1998,3549736
Bosnia and Herzegovina,1999,:
Bosnia and Herzegovina,2000,3753085
Bosnia and Herzegovina,2001,3789717
Bosnia and Herzegovina,2002,3813167
Bosnia and Herzegovina,2003,3830349
Bosnia and Herzegovina,2004,3837414
Bosnia and Herzegovina,2005,3842532
Bosnia and Herzegovina,2006,3842650
Bosnia and Herzegovina,2007,3844017
Bosnia and Herzegovina,2008,3843846
Bosnia and Herzegovina,2009,3843998
Bosnia and Herzegovina,2010,3844046
Bosnia and Herzegovina,2011,3843183
Bosnia and Herzegovina,2012,3839265
Bosnia and Herzegovina,2013,:
Bosnia and Herzegovina,2014,:
Bosnia and Herzegovina,2015,:
Bosnia and Herzegovina,2016,:
Bosnia and Herzegovina,2017,:
Bosnia and Herzegovina,2018,:
Bosnia and Herzegovina,2019,:
Bosnia and Herzegovina,2020,:
Bosnia and Herzegovina,2021,:
Bosnia and Herzegovina,2022,:
Bosnia and Herzegovina,2023,:
Bosnia and Herzegovina,2024,:
Bulgaria,1960,7829246
Bulgaria,1961,7905502
Bulgaria,1962,7980734
Bulgaria,1963,8045158
Bulgaria,1964,8111132
Bulgaria,1965,8177547
Bulgaria,1966,8230788
Bulgaria,1967,8285325
Bulgaria,1968,8335126
Bulgaria,1969,8404080
Bulgaria,1970,8464264
Bulgaria,1971,8514883
Bulgaria,1972,8557906
Bulgaria,1973,8594493
Bulgaria,1974,8647440
Bulgaria,1975,8710049
Bulgaria,1976,8731434
Bulgaria,1977,8785763
Bulgaria,1978,8822602
Bulgaria,1979,8805462
Bulgaria,1980,8846417
Bulgaria,1981,8876652
Bulgaria,1982,8905581
Bulgaria,1983,8929332
Bulgaria,1984,8950144
Bulgaria,1985,8971214
Bulgaria,1986,8949880
Bulgaria,1987,8966462
Bulgaria,1988,8976255
Bulgaria,1989,8986636
Bulgaria,1990,8767308
Bulgaria,1991,8669269
Bulgaria,1992,8595465
Bulgaria,1993,8484863
Bulgaria,1994,8459763
Bulgaria,1995,8427418
Bulgaria,1996,8384715
Bulgaria,1997,8340936
Bulgaria,1998,8283200
Bulgaria,1999,8230371
Bulgaria,2000,8190876
Bulgaria,2001,8149468
Bulgaria,2002,7868815
Bulgaria,2003,7805506
Bulgaria,2004,7745147
Bulgaria,2005,7688573
Bulgaria,2006,7629371
Bulgaria,2007,7572673
Bulgaria,2008,7518002
Bulgaria,2009,7467119
Bulgaria,2010,7421766
Bulgaria,2011,7369431
Bulgaria,2012,7327224
Bulgaria,2013,7202556
Bulgaria,2014,7117453
Bulgaria,2015,7029690
Bulgaria,2016,6938759
Bulgaria,2017,6849518
Bulgaria,2018,6757418
Bulgaria,2019,6664177
Bulgaria,2020,6569275
Bulgaria,2021,6532117
Bulgaria,2022,6482484
Bulgaria,2023,6447710
Bulgaria,2024,6445481
Croatia,1960,4127422
Croatia,1961,4152939
Croatia,1962,4181645
Croatia,1963,4211778
Croatia,1964,4239572
Croatia,1965,4266180
Croatia,1966,4295665
Croatia,1967,4325736
Croatia,1968,4351629
Croatia,1969,4379627
Croatia,1970,4403352
Croatia,1971,4421151
Croatia,1972,4441399
Croatia,1973,4459729
Croatia,1974,4480592
Croatia,1975,4500727
Croatia,1976,4523436
Croatia,1977,4548432
Croatia,1978,4570709
Croatia,1979,4591460
Croatia,1980,4598095
Croatia,1981,4601469
Croatia,1982,4621548
Croatia,1983,4646921
Croatia,1984,4669587
Croatia,1985,4690983
Croatia,1986,4711852
Croatia,1987,4731041
Croatia,1988,4748450
Croatia,1989,4761965
Croatia,1990,4772556
Croatia,1991,4782179
Croatia,1992,4595865
Croatia,1993,4555771
Croatia,1994,4645155
Croatia,1995,4658893
Croatia,1996,4581167
Croatia,1997,4533028
Croatia,1998,4536812
Croatia,1999,4527460
Croatia,2000,4497735
Croatia,2001,4295406
Croatia,2002,4305494
Croatia,2003,4305384
Croatia,2004,4305725
Croatia,2005,4310861
Croatia,2006,4312487
Croatia,2007,4313530
Croatia,2008,4311967
Croatia,2009,4309796
Croatia,2010,4302847
Croatia,2011,4289857
Croatia,2012,4275984
Croatia,2013,4247803
Croatia,2014,4217632
Croatia,2015,4180915
Croatia,2016,4131115
Croatia,2017,4078769
Croatia,2018,4014341
Croatia,2019,3968676
Croatia,2020,3933511
Croatia,2021,3893026
Croatia,2022,3862305
Croatia,2023,3850894
Croatia,2024,3861967
Cyprus,1960,572000
Cyprus,1961,573566
Cyprus,1962,575900
Cyprus,1963,578900
Cyprus,1964,585500
Cyprus,1965,588400
Cyprus,1966,593200
Cyprus,1967,597100
Cyprus,1968,601800
Cyprus,1969,606800
Cyprus,1970,612000
Cyprus,1971,616900
Cyprus,1972,623100
Cyprus,1973,631778
Cyprus,1974,637800
Cyprus,1975,505700
Cyprus,1976,497879
Cyprus,1977,497600
Cyprus,1978,498000
Cyprus,1979,501300
Cyprus,1980,505800
Cyprus,1981,512300
Cyprus,1982,522845
Cyprus,1983,524623
Cyprus,1984,531518
Cyprus,1985,538397
Cyprus,1986,544605
Cyprus,1987,550888
Cyprus,1988,556584
Cyprus,1989,562693
Cyprus,1990,572655
Cyprus,1991,587141
Cyprus,1992,603069
Cyprus,1993,619231
Cyprus,1994,632944
Cyprus,1995,645399
Cyprus,1996,656333
Cyprus,1997,666313
Cyprus,1998,675215
Cyprus,1999,682862
Cyprus,2000,690497
Cyprus,2001,697549
Cyprus,2002,705539
Cyprus,2003,713720
Cyprus,2004,722893
Cyprus,2005,733067
Cyprus,2006,744013
Cyprus,2007,757916
Cyprus,2008,776333
Cyprus,2009,796930
Cyprus,2010,819140
Cyprus,2011,839751
Cyprus,2012,862011
Cyprus,2013,865878
Cyprus,2014,858000
Cyprus,2015,847008
Cyprus,2016,848319
Cyprus,2017,854802
Cyprus,2018,864236
Cyprus,2019,875899
Cyprus,2020,888005
Cyprus,2021,896007
Cyprus,2022,904705
Cyprus,2023,949084
Cyprus,2024,966365
Czechia,1960,9637840
Czechia,1961,9566172
Czechia,1962,9607129
Czechia,1963,9642191
Czechia,1964,9699179
Czechia,1965,9756429
Czechia,1966,9802287
Czechia,1967,9839792
Czechia,1968,9866006
Czechia,1969,9886686
Czechia,1970,9906474
Czechia,1971,9809667
Czechia,1972,9843962
Czechia,1973,9891302
Czechia,1974,9953230
Czechia,1975,10023688
Czechia,1976,10093551
Czechia,1977,10158327
Czechia,1978,10215183
Czechia,1979,10269012
Czechia,1980,10315669
Czechia,1981,10292717
Czechia,1982,10308465
Czechia,1983,10321186
Czechia,1984,10326526
Czechia,1985,10333900
Czechia,1986,10340335
Czechia,1987,10344119
Czechia,1988,10350517
Czechia,1989,10360034
Czechia,1990,10362102
Czechia,1991,10304607
Czechia,1992,10312548
Czechia,1993,10325697
Czechia,1994,10334013
Czechia,1995,10333161
Czechia,1996,10321344
Czechia,1997,10309137
Czechia,1998,10299125
Czechia,1999,10289621
Czechia,2000,10278098
Czechia,2001,10232027
Czechia,2002,10201182
Czechia,2003,10192649
Czechia,2004,10195347
Czechia,2005,10198855
Czechia,2006,10223577
Czechia,2007,10254233
Czechia,2008,10343422
Czechia,2009,10425783
Czechia,2010,10462088
Czechia,2011,10486731
Czechia,2012,10505445
Czechia,2013,10516125
Czechia,2014,10512419
Czechia,2015,10538275
Czechia,2016,10553843
Czechia,2017,10578820
Czechia,2018,10610055
Czechia,2019,10649800
Czechia,2020,10693939
Czechia,2021,10494836
Czechia,2022,10516707
Czechia,2023,10827529
Czechia,2024,10900555
Denmark,1960,4565455
Denmark,1961,4593750
Denmark,1962,4629624
Denmark,1963,4665829
Denmark,1964,4703136
Denmark,1965,4741008
Denmark,1966,4777015
Denmark,1967,4817746
Denmark,1968,4852962
Denmark,1969,4876803
Denmark,1970,4906916
Denmark,1971,4950598
Denmark,1972,4975653
Denmark,1973,5007538
Denmark,1974,5036184
Denmark,1975,5054410
Denmark,1976,5065313
Denmark,1977,5079879
Denmark,1978,5096959
Denmark,1979,5111537
Denmark,1980,5122065
Denmark,1981,5123989
Denmark,1982,5119155
Denmark,1983,5116464
Denmark,1984,5112130
Denmark,1985,5111108
Denmark,1986,5116273
Denmark,1987,5124794
Denmark,1988,5129254
Denmark,1989,5129778
Denmark,1990,5135409
Denmark,1991,5146469
Denmark,1992,5162126
Denmark,1993,5180614
Denmark,1994,5196642
Denmark,1995,5215718
Denmark,1996,5251027
Denmark,1997,5275121
Denmark,1998,5294860
Denmark,1999,5313577
Denmark,2000,5330020
Denmark,2001,5349212
Denmark,2002,5368354
Denmark,2003,5383507
Denmark,2004,5397640
Denmark,2005,5411405
Denmark,2006,5427459
Denmark,2007,5447084
Denmark,2008,5475791
Denmark,2009,5511451
Denmark,2010,5534738
Denmark,2011,5560628
Denmark,2012,5580516
Denmark,2013,5602628
Denmark,2014,5627235
Denmark,2015,5659715
Denmark,2016,5707251
Denmark,2017,5748769
Denmark,2018,5781190
Denmark,2019,5806081
Denmark,2020,5822763
Denmark,2021,5840045
Denmark,2022,5873420
Denmark,2023,5932654
Denmark,2024,5961249
Estonia,1960,1206362
Estonia,1961,1216712
Estonia,1962,1233441
Estonia,1963,1249804
Estonia,1964,1267910
Estonia,1965,1286262
Estonia,1966,1302870
Estonia,1967,1314323
Estonia,1968,1323569
Estonia,1969,1338858
Estonia,1970,1351640
Estonia,1971,1368511
Estonia,1972,1385399
Estonia,1973,1399637
Estonia,1974,1412265
Estonia,1975,1424073
Estonia,1976,1434630
Estonia,1977,1444522
Estonia,1978,1455900
Estonia,1979,1464476
Estonia,1980,1472190
Estonia,1981,1482247
Estonia,1982,1493085
Estonia,1983,1503743
Estonia,1984,1513747
Estonia,1985,1523486
Estonia,1986,1534076
Estonia,1987,1546304
Estonia,1988,1558137
Estonia,1989,1565662
Estonia,1990,1570599
Estonia,1991,1567749
Estonia,1992,1554878
Estonia,1993,1511303
Estonia,1994,1476952
Estonia,1995,1448075
Estonia,1996,1425192
Estonia,1997,1405996
Estonia,1998,1393074
Estonia,1999,1379237
Estonia,2000,1401250
Estonia,2001,1392720
Estonia,2002,1383510
Estonia,2003,1375190
Estonia,2004,1366250
Estonia,2005,1358850
Estonia,2006,1350700
Estonia,2007,1342920
Estonia,2008,1338440
Estonia,2009,1335740
Estonia,2010,1333290
Estonia,2011,1329660
Estonia,2012,1325217
Estonia,2013,1320174
Estonia,2014,1315819
Estonia,2015,1314870
Estonia,2016,1315944
Estonia,2017,1315635
Estonia,2018,1319133
Estonia,2019,1324820
Estonia,2020,1328976
Estonia,2021,1330068
Estonia,2022,1331796
Estonia,2023,1365884
Estonia,2024,1374687
Euro area - 19 countries  (2015-2022),1960,263140292
Euro area - 19 countries  (2015-2022),1961,:
Euro area - 19 countries  (2015-2022),1962,:
Euro area - 19 countries  (2015-2022),1963,:
Euro area - 19 countries  (2015-2022),1964,:
Euro area - 19 countries  (2015-2022),1965,275430651
Euro area - 19 countries  (2015-2022),1966,:
Euro area - 19 countries  (2015-2022),1967,:
Euro area - 19 countries  (2015-2022),1968,:
Euro area - 19 countries  (2015-2022),1969,:
Euro area - 19 countries  (2015-2022),1970,285508883
Euro area - 19 countries  (2015-2022),1971,286798638
Euro area - 19 countries  (2015-2022),1972,:
Euro area - 19 countries  (2015-2022),1973,:
Euro area - 19 countries  (2015-2022),1974,:
Euro area - 19 countries  (2015-2022),1975,293874224
Euro area - 19 countries  (2015-2022),1976,295212458
Euro area - 19 countries  (2015-2022),1977,296348308
Euro area - 19 countries  (2015-2022),1978,297555091
Euro area - 19 countries  (2015-2022),1979,298772287
Euro area - 19 countries  (2015-2022),1980,300026000
Euro area - 19 countries  (2015-2022),1981,301426708
Euro area - 19 countries  (2015-2022),1982,302419395
Euro area - 19 countries  (2015-2022),1983,303140259
Euro area - 19 countries  (2015-2022),1984,303600009
Euro area - 19 countries  (2015-2022),1985,304049567
Euro area - 19 countries  (2015-2022),1986,304640663
Euro area - 19 countries  (2015-2022),1987,305452191
Euro area - 19 countries  (2015-2022),1988,306227897
Euro area - 19 countries  (2015-2022),1989,307433114
Euro area - 19 countries  (2015-2022),1990,308841704
Euro area - 19 countries  (2015-2022),1991,310262295
Euro area - 19 countries  (2015-2022),1992,311610504
Euro area - 19 countries  (2015-2022),1993,313111944
Euro area - 19 countries  (2015-2022),1994,314121560
Euro area - 19 countries  (2015-2022),1995,314879272
Euro area - 19 countries  (2015-2022),1996,315679276
Euro area - 19 countries  (2015-2022),1997,316448320
Euro area - 19 countries  (2015-2022),1998,318755544
Euro area - 19 countries  (2015-2022),1999,319373924
Euro area - 19 countries  (2015-2022),2000,320375247
Euro area - 19 countries  (2015-2022),2001,321447131
Euro area - 19 countries  (2015-2022),2002,322819636
Euro area - 19 countries  (2015-2022),2003,324573948
Euro area - 19 countries  (2015-2022),2004,326314018
Euro area - 19 countries  (2015-2022),2005,328141448
Euro area - 19 countries  (2015-2022),2006,329684938
Euro area - 19 countries  (2015-2022),2007,331204579
Euro area - 19 countries  (2015-2022),2008,333096775
Euro area - 19 countries  (2015-2022),2009,334470255
Euro area - 19 countries  (2015-2022),2010,335266424
Euro area - 19 countries  (2015-2022),2011,334572589
Euro area - 19 countries  (2015-2022),2012,335288924
Euro area - 19 countries  (2015-2022),2013,336044966
Euro area - 19 countries  (2015-2022),2014,337331059
Euro area - 19 countries  (2015-2022),2015,338062958
Euro area - 19 countries  (2015-2022),2016,339298392
Euro area - 19 countries  (2015-2022),2017,340047730
Euro area - 19 countries  (2015-2022),2018,340779942
Euro area - 19 countries  (2015-2022),2019,341729168
Euro area - 19 countries  (2015-2022),2020,342692171
Euro area - 19 countries  (2015-2022),2021,342806743
Euro area - 19 countries  (2015-2022),2022,343242163
Euro area - 19 countries  (2015-2022),2023,344706979
Euro area - 19 countries  (2015-2022),2024,346312052
Euro area – 20 countries (from 2023),1960,:
Euro area – 20 countries (from 2023),1961,:
Euro area – 20 countries (from 2023),1962,:
Euro area – 20 countries (from 2023),1963,:
Euro area – 20 countries (from 2023),1964,:
Euro area – 20 countries (from 2023),1965,:
Euro area – 20 countries (from 2023),1966,:
Euro area – 20 countries (from 2023),1967,:
Euro area – 20 countries (from 2023),1968,:
Euro area – 20 countries (from 2023),1969,:
Euro area – 20 countries (from 2023),1970,:
Euro area – 20 countries (from 2023),1971,:
Euro area – 20 countries (from 2023),1972,:
Euro area – 20 countries (from 2023),1973,:
Euro area – 20 countries (from 2023),1974,:
Euro area – 20 countries (from 2023),1975,:
Euro area – 20 countries (from 2023),1976,:
Euro area – 20 countries (from 2023),1977,:
Euro area – 20 countries (from 2023),1978,:
Euro area – 20 countries (from 2023),1979,:
Euro area – 20 countries (from 2023),1980,:
Euro area – 20 countries (from 2023),1981,:
Euro area – 20 countries (from 2023),1982,:
Euro area – 20 countries (from 2023),1983,:
Euro area – 20 countries (from 2023),1984,:
Euro area – 20 countries (from 2023),1985,:
Euro area – 20 countries (from 2023),1986,:
Euro area – 20 countries (from 2023),1987,:
Euro area – 20 countries (from 2023),1988,:
Euro area – 20 countries (from 2023),1989,:
Euro area – 20 countries (from 2023),1990,:
Euro area – 20 countries (from 2023),1991,:
Euro area – 20 countries (from 2023),1992,:
Euro area – 20 countries (from 2023),1993,:
Euro area – 20 countries (from 2023),1994,:
Euro area – 20 countries (from 2023),1995,:
Euro area – 20 countries (from 2023),1996,:
Euro area – 20 countries (from 2023),1997,:
Euro area – 20 countries (from 2023),1998,:
Euro area – 20 countries (from 2023),1999,:
Euro area – 20 countries (from 2023),2000,:
Euro area – 20 countries (from 2023),2001,:
Euro area – 20 countries (from 2023),2002,:
Euro area – 20 countries (from 2023),2003,:
Euro area – 20 countries (from 2023),2004,:
Euro area – 20 countries (from 2023),2005,:
Euro area – 20 countries (from 2023),2006,:
Euro area – 20 countries (from 2023),2007,:
Euro area – 20 countries (from 2023),2008,:
Euro area – 20 countries (from 2023),2009,:
Euro area – 20 countries (from 2023),2010,:
Euro area – 20 countries (from 2023),2011,:
Euro area – 20 countries (from 2023),2012,:
Euro area – 20 countries (from 2023),2013,:
